"Date","Open","High","Low","Close","VWAP ‌VWAP‌ (y,y,y)","SDVWAP1+ ‌VWAP‌ (y,y,y)","SDVWAP1- ‌VWAP‌ (y,y,y)","SDVWAP2+ ‌VWAP‌ (y,y,y)","SDVWAP2- ‌VWAP‌ (y,y,y)","SDVWAP3+ ‌VWAP‌ (y,y,y)","SDVWAP3- ‌VWAP‌ (y,y,y)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","OI","Volume"
"Wed Jul 15 2026 09:36:00 GMT+0530 (India Standard Time)","166.55","167.55","164.20","164.30","174.22","188.72","159.71","203.23","145.20","217.74","130.69","267.60","320.70","235.70","352.60","182.60","437.60","97.60","6881810.00","460330.00"
"Wed Jul 15 2026 09:37:00 GMT+0530 (India Standard Time)","164.30","166.50","164.05","165.95","174.05","188.46","159.63","202.88","145.21","217.30","130.79","267.60","320.70","235.70","352.60","182.60","437.60","97.60","7057830.00","270140.00"
"Wed Jul 15 2026 09:38:00 GMT+0530 (India Standard Time)","165.95","166.65","164.60","165.30","173.88","188.21","159.56","202.54","145.23","216.87","130.90","267.60","320.70","235.70","352.60","182.60","437.60","97.60","7191665.00","272155.00"
"Wed Jul 15 2026 09:39:00 GMT+0530 (India Standard Time)","166.30","169.25","165.00","167.45","173.61","187.70","159.52","201.79","145.43","215.88","131.34","267.60","320.70","235.70","352.60","182.60","437.60","97.60","7315230.00","611585.00"
"Wed Jul 15 2026 09:40:00 GMT+0530 (India Standard Time)","167.45","168.95","165.55","167.00","173.39","187.28","159.49","201.18","145.60","215.07","131.70","267.60","320.70","235.70","352.60","182.60","437.60","97.60","7386405.00","530595.00"
"Wed Jul 15 2026 09:41:00 GMT+0530 (India Standard Time)","167.00","167.35","164.00","166.90","173.17","186.92","159.43","200.66","145.68","214.41","131.94","267.60","320.70","235.70","352.60","182.60","437.60","97.60","7542015.00","464555.00"
"Wed Jul 15 2026 09:42:00 GMT+0530 (India Standard Time)","166.90","168.00","166.20","167.80","173.04","186.66","159.42","200.27","145.81","213.89","132.19","267.60","320.70","235.70","352.60","182.60","437.60","97.60","7675915.00","367185.00"
"Wed Jul 15 2026 09:43:00 GMT+0530 (India Standard Time)","167.55","169.70","166.30","168.00","172.82","186.18","159.46","199.54","146.11","212.89","132.75","267.60","320.70","235.70","352.60","182.60","437.60","97.60","7779915.00","737815.00"
"Wed Jul 15 2026 09:44:00 GMT+0530 (India Standard Time)","168.10","168.10","166.00","166.00","172.70","185.96","159.45","199.22","146.19","212.47","132.94","267.60","320.70","235.70","352.60","182.60","437.60","97.60","7917845.00","329290.00"
"Wed Jul 15 2026 09:45:00 GMT+0530 (India Standard Time)","166.00","166.00","161.25","161.55","172.23","185.33","159.13","198.43","146.03","211.53","132.93","267.60","320.70","235.70","352.60","182.60","437.60","97.60","8049600.00","883025.00"
"Wed Jul 15 2026 09:46:00 GMT+0530 (India Standard Time)","161.55","165.50","161.25","165.50","172.05","185.07","159.04","198.08","146.03","211.09","133.02","267.60","320.70","235.70","352.60","182.60","437.60","97.60","8057985.00","399165.00"
"Wed Jul 15 2026 09:47:00 GMT+0530 (India Standard Time)","165.50","165.80","163.20","164.55","171.94","184.89","159.00","197.84","146.05","210.79","133.10","267.60","320.70","235.70","352.60","182.60","437.60","97.60","8067150.00","274560.00"
"Wed Jul 15 2026 09:48:00 GMT+0530 (India Standard Time)","164.55","165.00","161.00","163.40","171.76","184.63","158.88","197.50","146.01","210.37","133.14","267.60","320.70","235.70","352.60","182.60","437.60","97.60","8172060.00","409305.00"
"Wed Jul 15 2026 09:49:00 GMT+0530 (India Standard Time)","163.40","167.10","162.90","167.05","171.59","184.32","158.86","197.05","146.13","209.78","133.40","267.60","320.70","235.70","352.60","182.60","437.60","97.60","8279245.00","553475.00"
"Wed Jul 15 2026 09:50:00 GMT+0530 (India Standard Time)","167.05","167.05","163.20","164.75","171.44","184.07","158.82","196.70","146.19","209.32","133.56","267.60","320.70","235.70","352.60","182.60","437.60","97.60","8414900.00","441805.00"
"Wed Jul 15 2026 09:51:00 GMT+0530 (India Standard Time)","164.75","164.80","161.00","161.05","171.29","183.86","158.71","196.44","146.14","209.01","133.56","267.60","320.70","235.70","352.60","182.60","437.60","97.60","8616725.00","353860.00"
"Wed Jul 15 2026 09:52:00 GMT+0530 (India Standard Time)","161.05","164.55","160.10","164.10","171.11","183.62","158.61","196.12","146.11","208.62","133.61","267.60","320.70","235.70","352.60","182.60","437.60","97.60","8659300.00","431340.00"
"Wed Jul 15 2026 09:53:00 GMT+0530 (India Standard Time)","164.10","165.40","163.00","163.75","171.02","183.47","158.58","195.92","146.13","208.36","133.68","267.60","320.70","235.70","352.60","182.60","437.60","97.60","8748480.00","274105.00"
"Wed Jul 15 2026 09:54:00 GMT+0530 (India Standard Time)","163.75","164.10","160.85","162.15","170.92","183.33","158.51","195.73","146.10","208.14","133.70","267.60","320.70","235.70","352.60","182.60","437.60","97.60","8769735.00","260715.00"
"Wed Jul 15 2026 09:55:00 GMT+0530 (India Standard Time)","162.15","162.15","156.85","158.25","170.42","182.80","158.05","195.17","145.68","207.54","133.30","267.60","320.70","235.70","352.60","182.60","437.60","97.60","8970260.00","941655.00"
"Wed Jul 15 2026 09:56:00 GMT+0530 (India Standard Time)","158.25","164.00","158.25","163.50","170.23","182.53","157.93","194.83","145.63","207.13","133.34","267.60","320.70","235.70","352.60","182.60","437.60","97.60","8802885.00","518635.00"
"Wed Jul 15 2026 09:57:00 GMT+0530 (India Standard Time)","163.50","166.95","163.30","166.15","170.08","182.21","157.95","194.34","145.82","206.47","133.69","267.60","320.70","235.70","352.60","182.60","437.60","97.60","8816405.00","753805.00"
"Wed Jul 15 2026 09:58:00 GMT+0530 (India Standard Time)","166.15","167.35","164.95","165.15","169.99","182.00","157.97","194.02","145.96","206.03","133.94","267.60","320.70","235.70","352.60","182.60","437.60","97.60","8957325.00","521820.00"
"Wed Jul 15 2026 09:59:00 GMT+0530 (India Standard Time)","165.15","169.60","164.70","168.65","169.92","181.75","158.08","193.59","146.24","205.43","134.41","267.60","320.70","235.70","352.60","182.60","437.60","97.60","9041305.00","768040.00"
"Wed Jul 15 2026 10:00:00 GMT+0530 (India Standard Time)","168.65","170.90","167.60","169.50","169.89","181.46","158.32","193.03","146.75","204.60","135.18","267.60","320.70","235.70","352.60","182.60","437.60","97.60","8936265.00","1172405.00"
"Wed Jul 15 2026 10:01:00 GMT+0530 (India Standard Time)","169.50","173.00","168.20","171.40","169.93","181.28","158.57","192.64","147.21","204.00","135.86","267.60","320.70","235.70","352.60","182.60","437.60","97.60","9097595.00","998920.00"
"Wed Jul 15 2026 10:02:00 GMT+0530 (India Standard Time)","171.40","172.00","167.25","167.90","169.90","181.12","158.69","192.33","147.48","203.55","136.26","267.60","320.70","235.70","352.60","182.60","437.60","97.60","8985015.00","705900.00"
"Wed Jul 15 2026 10:03:00 GMT+0530 (India Standard Time)","167.90","167.90","163.75","163.75","169.79","180.88","158.69","191.98","147.59","203.08","136.49","267.60","320.70","235.70","352.60","182.60","437.60","97.60","8916700.00","714220.00"
"Wed Jul 15 2026 10:04:00 GMT+0530 (India Standard Time)","163.75","168.00","162.75","167.70","169.71","180.71","158.71","191.71","147.72","202.70","136.72","267.60","320.70","235.70","352.60","182.60","437.60","97.60","8902985.00","588380.00"
"Wed Jul 15 2026 10:05:00 GMT+0530 (India Standard Time)","167.70","167.70","165.50","167.25","169.69","180.64","158.74","191.59","147.78","202.54","136.83","267.60","320.70","235.70","352.60","182.60","437.60","97.60","8911890.00","264680.00"
"Wed Jul 15 2026 10:06:00 GMT+0530 (India Standard Time)","167.25","167.25","163.75","166.25","169.64","180.55","158.74","191.45","147.84","202.35","136.94","267.60","320.70","235.70","352.60","182.60","437.60","97.60","8994765.00","315640.00"
"Wed Jul 15 2026 10:07:00 GMT+0530 (India Standard Time)","166.25","166.35","162.95","163.90","169.60","180.47","158.74","191.33","147.87","202.20","137.00","267.60","320.70","235.70","352.60","182.60","437.60","97.60","9040460.00","250055.00"
"Wed Jul 15 2026 10:08:00 GMT+0530 (India Standard Time)","164.30","164.30","160.20","161.30","169.48","180.30","158.66","191.12","147.84","201.94","137.01","267.60","320.70","235.70","352.60","182.60","437.60","97.60","9078485.00","500240.00"
"Wed Jul 15 2026 10:09:00 GMT+0530 (India Standard Time)","161.30","164.45","160.50","163.00","169.40","180.19","158.62","190.97","147.83","201.75","137.05","267.60","320.70","235.70","352.60","182.60","437.60","97.60","9036885.00","339170.00"
"Wed Jul 15 2026 10:10:00 GMT+0530 (India Standard Time)","163.00","164.50","162.15","164.35","169.36","180.12","158.60","190.87","147.85","201.63","137.09","267.60","320.70","235.70","352.60","182.60","437.60","97.60","9117290.00","218920.00"
