"Date","Open","High","Low","Close","VWAP ‌VWAP‌ (y,y,y)","SDVWAP1+ ‌VWAP‌ (y,y,y)","SDVWAP1- ‌VWAP‌ (y,y,y)","SDVWAP2+ ‌VWAP‌ (y,y,y)","SDVWAP2- ‌VWAP‌ (y,y,y)","SDVWAP3+ ‌VWAP‌ (y,y,y)","SDVWAP3- ‌VWAP‌ (y,y,y)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","OI","Volume"
"Wed Jul 15 2026 09:37:00 GMT+0530 (India Standard Time)","159.25","159.80","156.35","157.50","145.36","161.72","128.99","178.09","112.62","194.45","96.26","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","7193875.00","404495.00"
"Wed Jul 15 2026 09:38:00 GMT+0530 (India Standard Time)","157.50","158.90","156.20","157.45","145.47","161.80","129.14","178.13","112.81","194.46","96.47","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","7264920.00","269815.00"
"Wed Jul 15 2026 09:39:00 GMT+0530 (India Standard Time)","157.45","157.60","152.50","154.80","145.67","161.88","129.45","178.10","113.24","194.32","97.02","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","7332260.00","629915.00"
"Wed Jul 15 2026 09:40:00 GMT+0530 (India Standard Time)","154.80","156.10","152.75","154.05","145.80","161.93","129.68","178.05","113.55","194.18","97.43","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","7350525.00","461435.00"
"Wed Jul 15 2026 09:41:00 GMT+0530 (India Standard Time)","154.05","156.75","153.05","153.80","145.91","161.97","129.86","178.02","113.81","194.07","97.76","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","7447440.00","389480.00"
"Wed Jul 15 2026 09:42:00 GMT+0530 (India Standard Time)","153.80","153.80","151.15","151.75","146.03","161.96","130.10","177.89","114.16","193.82","98.23","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","7552545.00","555165.00"
"Wed Jul 15 2026 09:43:00 GMT+0530 (India Standard Time)","152.00","153.30","149.15","151.65","146.16","161.91","130.41","177.66","114.65","193.42","98.90","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","7610785.00","795730.00"
"Wed Jul 15 2026 09:44:00 GMT+0530 (India Standard Time)","151.60","153.05","150.30","152.30","146.22","161.90","130.55","177.57","114.88","193.25","99.20","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","7615530.00","370435.00"
"Wed Jul 15 2026 09:45:00 GMT+0530 (India Standard Time)","152.85","158.75","152.85","158.65","146.58","162.11","131.06","177.63","115.54","193.15","100.02","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","7746960.00","1143545.00"
"Wed Jul 15 2026 09:46:00 GMT+0530 (India Standard Time)","158.65","158.75","154.65","154.65","146.79","162.20","131.38","177.62","115.97","193.03","100.56","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","7884760.00","754260.00"
"Wed Jul 15 2026 09:47:00 GMT+0530 (India Standard Time)","154.65","156.70","154.15","155.15","146.90","162.24","131.55","177.59","116.21","192.94","100.86","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8013070.00","425295.00"
"Wed Jul 15 2026 09:48:00 GMT+0530 (India Standard Time)","155.15","158.80","154.80","155.75","147.04","162.32","131.77","177.59","116.50","192.86","101.22","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8075405.00","532740.00"
"Wed Jul 15 2026 09:49:00 GMT+0530 (India Standard Time)","155.75","156.15","150.80","151.35","147.14","162.30","131.98","177.46","116.82","192.62","101.66","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8093215.00","616265.00"
"Wed Jul 15 2026 09:50:00 GMT+0530 (India Standard Time)","151.35","154.40","151.15","153.45","147.21","162.29","132.13","177.37","117.05","192.45","101.97","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8093085.00","442325.00"
"Wed Jul 15 2026 09:51:00 GMT+0530 (India Standard Time)","153.45","157.60","153.00","157.50","147.33","162.34","132.32","177.36","117.30","192.37","102.29","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8194810.00","492505.00"
"Wed Jul 15 2026 09:52:00 GMT+0530 (India Standard Time)","157.50","159.00","153.45","153.45","147.45","162.38","132.52","177.31","117.59","192.24","102.66","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8204820.00","573495.00"
